1st accuracy,2ns accuracy,3rd accuracy,4th accuracy,5th accuracy,6th accuracy,7th accuracy,8th accuracy,9th accuracy,10th accuracy,Average accuracy,1st time,2ns time,3rd time,4th time,5th time,6th time,7th time,8th time,9th time,10th time,Average time
2.958252,3.4041867,1.2707177,1.4522079,3.6506715,2.8251135,2.1094012,3.869774,1.1064287,1.3992584,2.404601,2504,3543,4478,5804,7279,8477,9380,10371,11554,13295,7668.5
3.1914766,3.4258366,0.7247696,5.5808563,2.8825424,5.5241046,2.9303098,1.4593096,2.4899113,2.4248438,3.3697357,1867,2797,3929,4937,5776,6707,7624,8642,9674,10619,6882.9204
0.963188,3.5033293,0.62080395,3.573271,1.9702178,3.7983081,2.0843284,2.4732997,0.6419485,2.9928272,2.2621522,2190,2854,4109,5122,6301,7538,8461,9590,10622,11763,6855.0
4.5063715,0.53371423,1.2869111,3.7156188,1.2824596,2.7422311,1.5834115,3.831377,7.0002074,2.8320036,2.9314303,2294,3583,4630,5661,6844,7832,8739,9781,10790,11742,7189.6
3.799248,5.5546503,2.8599265,4.0673747,4.250712,1.0513893,3.5627835,2.73378,2.239166,1.438742,3.1557772,2266,3228,4455,5639,6662,7767,8846,9944,10982,12232,7202.1
1.2551831,1.833721,3.5699792,1.7308052,3.9240577,1.3140774,0.15669164,3.9502075,2.3645825,1.829765,2.4121976,2511,3399,4574,5654,6337,7287,8199,9269,10381,11415,7592.8604
3.9150913,4.42876,5.255237,3.3669956,1.8873172,1.3436538,1.8163881,2.1508472,0.98107177,3.5076153,3.1518276,2374,3259,4477,5326,6541,7589,8911,10302,11164,11965,7909.88
4.145289,1.1851996,4.276677,2.3255484,4.2901664,3.8293502,3.8177707,3.775723,1.4335555,5.163364,3.4242642,2388,3309,4139,5042,5926,6883,7749,8764,9980,10866,6504.6
1.5174985,2.2106564,3.0959258,1.7725239,7.4810605,2.3541908,3.1064093,1.4611732,4.916662,5.6230135,3.3539116,2446,3556,4847,5992,6935,7919,9166,10085,11191,12120,7425.7
3.5979877,1.7668744,0.7176002,4.1511297,0.8723234,2.4984407,2.1377013,1.4828459,4.136388,3.5185943,2.4879885,2324,3261,4155,5422,6507,7236,8394,9499,10575,11461,7571.7397
3.4474344,4.2915206,6.307466,1.9936706,2.5729997,2.1672914,2.2685287,3.7787988,1.8943536,8.373514,4.080514,2143,3123,4544,5660,6452,7754,8922,10020,11212,12393,7944.53
2.3071074,3.2355316,5.5374923,1.3735832,0.94450015,4.082934,0.60862553,5.9103456,4.7368517,3.426508,3.5379822,3536,4467,5634,6852,8311,9320,10383,11453,12493,13725,9479.14
3.0150006,3.1458127,2.5936291,2.3572042,4.335815,0.9534034,3.2309945,2.7933419,4.8049216,3.0068831,3.023701,1881,2942,4159,5234,6344,7359,8377,9631,10948,11921,6879.6
2.5700426,4.3962846,3.6759136,1.7488736,2.1198146,1.3260342,2.9168339,1.461398,3.5741167,3.2537856,2.7043097,1985,3424,4981,6073,7104,8161,9299,10356,11356,12315,7505.4
5.543087,5.9767675,1.7711576,1.9946609,1.2817581,0.6269759,1.4793146,2.4952755,4.015475,1.2815124,2.9112582,1887,2966,4022,4923,5807,6886,8107,8996,9895,10999,7093.6797
2.322846,3.4483266,0.3735048,1.7998778,2.2547565,4.0368066,1.8729881,5.8149815,2.625631,1.748563,2.6298282,2284,3413,4477,5603,6797,7958,9054,10397,11341,12381,7370.5
3.725011,2.5693204,1.8884819,2.7415233,3.6475077,0.79680276,2.7794192,2.0536883,2.1491346,1.3150008,2.6032481,2014,3126,4471,5632,6582,7464,8725,9845,11069,12253,7829.91
1.2346567,6.12497,1.0834191,4.2335734,2.777506,1.3058597,1.5284377,2.4482355,3.3553405,0.5412089,2.7096531,1765,2637,3512,4654,5635,6868,8159,9345,10580,11822,7147.47
3.6825137,1.464287,1.3810917,2.092906,3.4798129,1.7023467,2.0465007,0.9505402,2.1670616,1.6238955,2.265005,2292,3161,3995,4942,5928,6695,7665,8743,9880,10983,7071.2397
2.9603615,2.3841672,3.8936875,1.8268661,4.127403,2.5884893,5.4580226,3.1227882,3.2405937,3.849226,3.3451607,2700,4195,5524,6652,7812,8988,10565,11780,12859,14108,8518.3
2.3753915,2.8819304,1.7468317,3.624596,3.0455472,0.9173897,3.3745985,2.2694926,0.71510655,2.1119196,2.3062806,2168,3375,4640,5807,6926,8343,9606,10831,11894,12727,7631.7
5.5997496,2.8135784,3.6983056,2.289012,3.644791,1.5320547,4.8987365,4.319077,4.0508585,2.2553709,3.861169,2052,3146,4274,5602,6985,8009,9162,10354,11506,12706,8117.56
5.645067,3.7379503,3.2983289,0.94137245,2.0150301,2.143337,1.6767594,1.801944,3.534383,4.3059177,3.2010102,2554,3546,4826,5810,7048,8378,9762,10769,11968,13248,8569.99
4.6686354,2.7399597,3.8777974,2.316709,2.950174,2.1695764,2.3723662,2.0176735,1.2449661,2.1289718,2.648683,2186,3337,4553,5553,6631,8088,9536,10905,12248,13711,7674.8
3.801485,3.1391096,5.44315,2.168585,3.0648277,2.4194229,2.9524093,3.1248336,3.6216671,1.9772422,3.1712732,2346,3473,4738,5745,7435,8496,9624,10834,12393,13770,7885.4
3.5111973,2.5502415,1.9776812,1.3041432,2.8945353,6.097383,2.7707322,1.5977927,2.5815992,3.1044776,2.8389783,2080,3161,4496,5287,6312,7535,8945,10151,11240,12376,7158.3
3.5498183,3.1016986,3.024444,1.6776241,2.714971,2.4604008,4.470381,1.7639935,3.6954684,2.2601848,2.8718987,2683,3839,5168,6631,8175,9407,10617,11815,13206,14360,8590.1
3.026301,2.528614,3.4024954,2.433683,2.8402295,1.0358229,2.6686134,3.653862,1.66842,2.3405356,2.5598578,1960,3159,4349,5774,7222,8485,9677,10934,12206,13269,7703.5
2.3910978,2.871833,3.6196923,2.1723092,1.964583,1.1999979,2.2459354,0.8416892,4.4410977,3.975717,2.829635,1678,2661,3853,4789,6013,7605,8829,10135,11254,12772,7654.79
4.1219034,2.86942,4.816649,2.8085058,1.3809631,2.4190462,5.3461003,1.876457,3.309412,3.2851427,3.2233596,1885,3092,4620,5932,7205,8259,9380,10724,12212,13596,7690.5
5.397941,1.7474686,2.1981359,3.3126957,4.0481076,2.2176354,4.46872,2.7201478,0.9077511,1.6760105,2.8694615,1891,2842,4195,5346,6353,7449,8969,10530,11737,13011,7232.3
6.0608053,1.7963187,3.7041602,4.9436703,6.484708,3.120125,0.80260235,2.7859416,3.428476,1.9086573,3.5035465,1687,2941,4158,5775,7190,8510,9652,10792,11854,12759,7531.8
4.5055575,1.9840326,2.1574035,2.5351005,5.7197075,4.2111993,4.1145773,2.4754615,0.7112588,4.5304112,3.294471,2342,3503,4726,5790,6984,8094,9046,10374,11661,12815,7533.5
2.1180565,2.6769984,4.841727,1.73769,0.584324,1.4196193,1.6191058,2.804656,3.507915,4.892747,2.6202838,2280,3671,4904,6182,7526,8975,10079,11303,12495,13711,8112.6
2.0731223,2.759153,2.6081138,1.5841963,1.2953104,1.6915826,4.345437,2.4777563,1.2055762,5.065949,2.5106196,1960,3374,4741,6236,7478,8413,9453,10413,11878,13247,7719.3
3.6767159,1.8017443,5.793966,0.8457901,4.8369155,1.3627673,2.4617443,3.4510853,1.9522923,5.1719694,3.1354992,1958,3078,4598,5989,7062,8573,9614,11215,12382,13830,7829.9
2.769438,0.6842135,1.6597257,3.249311,3.7313554,1.812414,1.7183754,1.1128329,0.104071654,0.7095124,1.755125,1815,2902,4174,5654,6997,8213,9502,10846,11798,13047,7494.8
4.053756,3.3046212,3.5558655,1.9880458,0.9303344,1.9812268,2.014303,1.0493345,2.6830184,2.0300531,2.3590558,1996,3291,4564,5854,7003,8124,9155,10819,12003,13386,7619.5
5.1896434,0.353265,2.9151936,1.6626476,3.881065,2.918057,5.1129966,3.0874872,7.186165,0.2948569,3.2601376,2341,3562,5114,6562,7722,8660,9650,10522,11798,12882,7881.3
3.8639874,0.72933745,1.4797974,2.6157243,0.70839894,1.899535,2.5662093,2.1051292,5.854987,0.23871331,2.206182,2240,3376,4943,6247,7439,8377,9519,10672,11868,12779,7746.0
4.0386147,2.685301,2.942592,1.6040488,1.4977512,0.53574425,1.5025126,3.8488007,3.6446803,3.0311794,2.5331225,2075,3198,4349,5413,6694,7796,9006,10189,11316,12572,7260.8
4.137306,2.5166013,0.83173215,3.2991195,6.0645237,2.312438,1.1375678,0.51888376,4.1220202,0.2720483,2.7733467,2135,3370,4372,5515,6580,7575,8732,9979,10915,12259,7857.5205
4.4634595,4.0144506,2.4346933,3.3244014,1.0241222,2.1304657,2.7177312,4.7714133,4.143982,2.3553526,3.1380074,2295,3457,4524,5767,6666,7625,9130,10151,11561,12476,7365.2
